Tiếng Hàn,Hán tự,Nghĩa tiếng Việt
"무례","無禮","Vô lễ"
"무명","無名","Vô danh"
"무미","無味","Vô vị"
"무사","無事","Vô sự, Bình an"
"무산","無産","Vô sản"
"무선","無線","Vô tuyến"
"무성","無性","Vô tính"
"무수","無數","Vô số"
"무술","武術","Võ thuật"
"무시","無視","Xem thường"
"무식","無識","Vô học"
"무심","無心","Vô tâm"
"무능","無能","Vô năng"
"무료","無料","Miễn phí"
"무역","貿易","Mậu dịch"
"무용","無用","Vô dụng"
"무적","無敵","Vô địch"
"무정부","無政府","Vô chính phủ"
"무조건","無條件","Vô điều kiện"
"무죄","無罪","Vô tội"
"무책임","無責任","Vô trách nhiệm"
"무한","無限","Vô hạn"
"무효","無效","Vô hiệu"
"문답","問答","Hỏi đáp"
"문명","文明","Văn minh"
"문안","問安","Vấn an, Thăm hỏi"
"문서","文書","Văn thư"
"문예","文藝","Văn nghệ"
"문학","文學","Văn học"
"문화","文化","Văn hoá"
"물가","物價","Giá cả"
"물리","物理","Vật lý"
"물질","物質","Vật chất"
"미각","味覺","Vị giác"
"미관","美觀","Mỹ quan"
"미녀","美女","Mỹ nữ"
"미덕","美德","Mỹ đức"
"미안","未安","Xin lỗi, Áy náy"
"미완성","未完成","Chưa hoàn thành"
"미련","未練","Lưu luyến"
"미술","美術","Mỹ thuật"
"미신","迷信","Mê tín"
"미인","美人","Mỹ nhân"
"미주","美洲","Châu Mỹ"
"미혼","未婚","Chưa kết hôn"
"민간","民間","Dân gian"
"민심","民心","Lòng dân"
"민요","民謠","Dân ca"
"민족","民族","Dân tộc"
"민주","民主","Dân chủ"
"민중","民衆","Dân chúng"
"밀도","密度","Mật độ"
"밀월","蜜月","Trăng mật"
"박명","薄命","Bạc mệnh"
"박람회","博覽會","Hội chợ triển lãm"
"박물관","博物館","Bảo tàng"
"박사","博士","Tiến sĩ"
"박애","博愛","Bác ái"
"박하","薄荷","Bạc hà"
"반격","反擊","Phản kích, Phản công"
"반경","半徑","Bán kính"
"반구","半球","Bán cầu"
"반공","反攻","Phản công"
"반대","反對","Phản đối"
"반동","反動","Phản động"
"반란","叛亂","Phản loạn"
"반박","反駁","Phản bác"
"반복","反復","Lặp lại"
"반도","半島","Bán đảo"
"반사","反射","Phản xạ"
"반성","反省","Kiểm điểm"
"반신반의","半信半疑","Bán tín bán nghi"
"반역","反逆","Phản nghịch"
"반영","反映","Phản ánh"
"반응","反應","Phản ứng"
"반작용","反作用","Phản tác dụng"
"반전","反戰","Phản chiến"
"반항","反抗","Phản kháng"
"발견","發見","Phát kiến, Tìm thấy"
"발동","發動","Phát động"
"발명","發明","Phát minh"
"발생","發生","Phát sinh"
"발언","發言","Phát ngôn"
"발음","發音","Phát âm"
"발전","發展","Phát triển"
"발표","發表","Phát biểu"
"발행","發行","Phát hành"
"발휘","發揮","Phát huy"
"방공","防空","Phòng không"
"방문","訪問","Thăm viếng"
"방법","方法","Phương pháp"
"방사","放射","Phóng xạ"
"방송","放送","Phát thanh, Truyền hình"
"방수","防水","Chống nước"
"방안","方案","Phương án"
"방어","防禦","Phòng ngự"
"방역","防疫","Phòng dịch"
"방위","防衛","Phòng vệ"
"방제","防除","Phòng trừ"
"방지","防止","Ngăn chặn"
"방책","方策","Phương sách"
"방침","方針","Phương châm"
"방해","妨害","Cản trở"
"방향","方向","Phương hướng"
"방화","防火","Phòng hỏa"
"배경","背景","Bối cảnh"
"배급","配給","Cung cấp"
"배려","配慮","Quan tâm"
"배반","背叛","Phản bội"
"배상","賠償","Bồi thường"
"배설","排泄","Bài tiết"
"배송","配送","Giao hàng"
"배신","背信","Phản bội"
"배양","培養","Bồi dưỡng"
"배열","排列","Sắp xếp"
"배우","俳優","Diễn viên"
"배제","排除","Loại bỏ"
"배출","排出","Thải ra"
"배치","配置","Bố trí"
"배합","配合","Phối hợp"
"배외","排外","Bài ngoại"
"배포","配布","Phân bố"
"배후","背後","Phía sau"
"백금","白金","Bạch kim"
"백기","白旗","Cờ trắng"
"백만","百萬","Một triệu"
"백발","白髮","Tóc bạc"
"백분율","百分率","Tỷ lệ phần trăm"
"백색","白色","Màu trắng"
"백성","百姓","Dân chúng"
"백신","白信","Vaccine"
"백옥","白玉","Bạch ngọc"
"백인","白人","Người da trắng"
"백작","伯爵","Bá tước"
"백조","白鳥","Thiên nga"
"백지","白紙","Giấy trắng"
"백발백중","百發百中","Trăm phát trăm trúng"
"백전백승","百戰百勝","Bách chiến bách thắng"
"백합","百合","Hoa loa kèn (Bách hợp)"
"백혈구","白血球","Bạch cầu"
"백혈병","白血病","Bệnh bạch cầu"
"백호","白虎","Bạch hổ"
"백화점","百貨店","Tiệm bách hóa"
"번민","煩悶","Phiền muộn"
"번복","飜覆","Lật ngược"
"번성","繁盛","Phồn thịnh"
"번식","繁殖","Sinh sản"
"번잡","煩雜","Phức tạp, Ồn ào"
"번역","飜譯","Biên dịch, Phiên dịch"
"번영","繁榮","Phồn vinh"
"번창","繁昌","Phồn thịnh"
"번체","繁體","Phồn thể"
"번호","番號","Số hiệu"
"번화","繁華","Phồn hoa"
"번화가","繁華街","Phố xá sầm uất"
"벌목","伐木","Chặt cây"
"벌점","罰點","Điểm phạt"
"벌주","罰酒","Rượu phạt"
"벌채","伐採","Đốn cây"
"벌초","伐草","Phát cỏ"
"벌충","罰充","Bù vào"
"벌형","罰刑","Hình phạt"
"범람","氾濫","Lụt lội"
"범례","凡例","Chú thích"
"범법","犯法","Phạm pháp"
"범부","凡夫","Phàm phu"
"범사","凡事","Mọi việc"
"범선","帆船","Thuyền buồm"
"범위","範圍","Phạm vi, Giới hạn"
"범인","犯人","Phạm nhân"
"범죄","犯罪","Phạm tội"
"법과","法科","Khoa luật"
"법규","法規","Pháp quy"
"법령","法令","Pháp lệnh"
"법률","法律","Pháp luật"
"법무","法務","Pháp vụ"
"법인","法人","Pháp nhân"
"법정","法廷","Pháp đình"
"법제","法制","Pháp chế"
"법학","法學","Luật học"
"변고","變故","Biến cố"
"변동","變動","Biến động"
"변론","辯論","Biện luận"
"변명","辨明","Thanh minh"
"변태","變態","Biến thái"
"변호","辯護","Biện hộ"
"변화","變化","Biến hóa"
"별세","別世","Qua đời"
"병","病","Bệnh"
"병기","兵器","Binh khí"
"병력","兵力","Binh lực"
"병법","兵法","Binh pháp"
"병사","兵士","Binh sĩ"
"병실","病室","Phòng bệnh"
"병원","病院","Bệnh viện"
"병풍","屛風","Bình phong"
"보고","報告","Báo cáo"
"보관","保管","Bảo quản"
"조합","組合","Hiệp hội, Tổ hợp"
"조형","造形","Tạo hình"
"조혼","早婚","Tảo hôn"
"족장","族長","Trưởng tộc"
"존경","尊敬","Tôn kính"
"존망","存亡","Tồn vong"
"존엄","尊嚴","Tôn nghiêm"
"존재","存在","Tồn tại"
"종교","宗敎","Tôn giáo"
"종류","種類","Chủng loại"
"종합","綜合","Tổng hợp"
"주관","主觀","Chủ quan"
"주권","主權","Chủ quyền"
"주기","週期","Chu kỳ"
"주도","主導","Chủ đạo"
"주동","主動","Chủ động"
"주력","主力","Chủ lực"
"주목","注目","Chú ý"
"주민","住民","Cư dân"
"주석","主席","Chủ tịch"
"주요","主要","Chủ yếu"
"주의(主義)","主義","Chủ nghĩa"
"주의(注意)","注意","Chú ý"
"주인","主人","Chủ nhân"
"주임","主任","Chủ nhiệm"
"주장","主張","Chủ trương"
"주제","主題","Chủ đề"
"주체","主體","Chủ thể"
"준비","準備","Chuẩn bị"
"준수","遵守","Tuân thủ"
"중간","中間","Trung gian"
"중국","中國","Trung Quốc"
"중급","中級","Trung cấp"
"중독","中毒","Trúng độc"
"중동","中東","Trung Đông"
"중량","重量","Trọng lượng"
"중력","重力","Trọng lực"
"중립","中立","Trung lập"
"중복","重複","Trùng lặp"
"중심","中心","Trung tâm"
"중앙","中央","Trung ương"
"중재","仲裁","Trọng tài"
"중지","中止","Đình chỉ"
"중화","中華","Trung Hoa"
"즉각","卽刻","Tức khắc"
"즉시","卽時","Ngay tức khắc"
"즉위","卽位","Lên ngôi"
"증가","增加","Tăng"
"증거","證據","Chứng cứ"
"증권","證券","Chứng khoán"
"증명","證明","Chứng minh"
"지능","知能","Trí thông minh"
"지도(地圖)","地圖","Bản đồ"
"지도(指導)","指導","Chỉ đạo"
"지리","地理","Địa lý"
"지방","地方","Địa phương"
"지배","支配","Chi phối"
"지시","指示","Chỉ thị"
"지식","知識","Tri thức"
"지역","地域","Khu vực"
"지옥","地獄","Địa ngục"
"지원(支援)","支援","Chi viện, Giúp đỡ"
"지원(志願)","志願","Tự nguyện, Ứng tuyển"
"지위","地位","Chức vị"
"지정","指定","Chỉ định"
"지지","支持","Ủng hộ"
"지진","地震","Địa chấn"
"지형","地形","Địa hình"
"지휘","指揮","Chỉ huy"
"직권","職權","Chức quyền"
"직무","職務","Nhiệm vụ"
"직원","職員","Nhân viên"
"직접","直接","Trực tiếp"
"직책","職責","Chức trách"
"진군","進軍","Tiến quân"
"진도","進度","Tiến độ"
"진리","眞理","Chân lý"
"참혹","慘酷","Thảm khốc"
"참화","慘禍","Thảm họa"
"창립","創立","Thành lập"
"창조(創造)","創造","Sáng tạo"
"책임","責任","Trách nhiệm"
"처리","處理","Xử lý"
"처벌","處罰","Xử phạt"
"천당","天堂","Thiên đường"
"천명","天命","Thiên mệnh, Mệnh trời"
"천문","天文","Thiên văn"
"천부","天父","Thiên phụ"
"표준","標準","Tiêu chuẩn"
"표현","表現","Biểu hiện"
"품격","品格","Phẩm cách"
"품행","品行","Phẩm hạnh"
"풍경","風景","Phong cảnh"
"풍부","豐富","Phong phú"
"풍속","風俗","Phong tục"
"하류","下流","Hạ lưu"
"하원","下院","Hạ viện"
"학기","學期","Học kỳ"
"학문","學問","Học vấn"
"학비","學費","Học phí"
"학생","學生","Học sinh"
"학습","學習","Học hành"
"학원","學院","Học viện"
"학위","學位","Học vị"
"학자","學者","Học giả"
"한계","限界","Giới hạn"
"한국","韓國","Hàn Quốc"
"한문","漢文","Hán văn"
"합리","合理","Hợp lý"
"합법","合法","Hợp pháp"
"합작","合作","Hợp tác"
"항공","航空","Hàng không"
"항공모함","航空母艦","Hàng không mẫu hạm"
"항목","項目","Hạng mục"
"항생","抗生","Kháng sinh"
"항의","抗議","Kháng nghị"
"항전","抗戰","Kháng chiến"
"항해","航海","Hàng hải"
"해군","海軍","Hải quân"
"해방","解放","Giải phóng"
"해산","解散","Giải tán"
"해양","海洋","Hải dương"
"해임","解任","Bãi chức"
"해적","海賊","Hải tặc"
"해체","解體","Giải thể"
"행군","行軍","Hành quân"
"행동","行動","Hành động"
"행복","幸福","Hạnh phúc"
"행성","行星","Hành tinh"
"행위","行爲","Hành vi"
"행정","行政","Hành chính"
"허락","許諾","Đồng ý, Cho phép"
"허무","虛無","Hư vô"
"헌법","憲法","Hiến pháp"
"헌신","獻身","Hiến thân"
"혁명","革命","Cách mạng"
"현대","現代","Hiện đại"
"현명","賢明","Thông minh"
"현상","現象","Hiện tượng"
"현실","現實","Hiện thực"
"현장","現場","Hiện trường"
"현재","現在","Hiện tại"
"혈관","血管","Huyết quản"
"혈압","血壓","Huyết áp"
"혈통","血統","Huyết thống"
"협동","協同","Hợp tác"
"협력","協力","Hỗ trợ"
"협상","協商","Đàm phán"
"협정","協定","Hiệp định"
"협회","協會","Hiệp hội"
"형법","刑法","Hình phạt"
"형사","刑事","Hình sự"
"형성","形成","Hình thành"
"형식","形式","Hình thức"
"형태","形態","Hình thái"
"혜택","惠澤","Ưu đãi"
"호감","好感","Tình cảm tốt"
"호송","護送","Hộ tống"
"호적","戶籍","Hộ tịch, Hộ khẩu"
"호흡","呼吸","Hô hấp"
"혼란","混亂","Hỗn loạn"
"혼례","婚禮","Hôn lễ"
"혼인","婚姻","Hôn nhân"
"화가","畫家","Họa sĩ"
"화려","華麗","Hoa lệ"
"화력","火力","Hỏa lực"
"화목","和睦","Hòa thuận"
"화물","貨物","Hàng hóa"
"화석","化石","Hóa thạch"
"화재","火災","Hỏa hoạn"
"화평","和平","Hòa bình"
"화폐","貨幣","Tiền tệ"
"화학","化學","Hóa học"
"화합","和合","Hòa hợp"
"화해","和解","Hòa giải"
"확인","確認","Xác nhận"
"환영","歡迎","Hoan nghênh"
"환자","患者","Bệnh nhân"
"활동","活動","Hoạt động"
"활발","活潑","Hoạt bát"
"활용","活用","Ứng dụng"
"황금","黃金","Hoàng kim"
"황실","皇室","Hoàng thất"
"황후","皇后","Hoàng hậu"
"회계","會計","Kế toán"
"회담","會談","Hội đàm"
"회복","回復","Hồi phục, Khôi phục"
"회사","會社","Công ty"
"회원","會員","Hội viên, Thành viên"
"회의","會議","Hội nghị"
"회화","會話","Hội thoại"
"효과","效果","Hiệu quả"
"효도","孝道","Hiếu thảo"
"효율","效率","Hiệu suất"
"후방","後方","Hậu phương"
"후세","後世","Hậu thế"
"후원","後援","Ủng hộ"
"후회","後悔","Hối hận"
"훈련","訓練","Huấn luyện"
"훈장","勳章","Huân chương"
"휴전","休戰","Đình chiến"
"흡수","吸收","Hấp thụ"
"흥망","興亡","Hưng vong"
"흥미","興味","Hứng thú"
"희망","希望","Hy vọng"
"희생","犧牲","Hy sinh"
"사건","事件","Sự kiện"
"사고","事故","Sự cố, Tai nạn"
"사관","士官","Sĩ quan"
"사교","社交","Xã giao"
"사단","師團","Sư đoàn"
"사령","司令","Tư lệnh"
"사립","私立","Tư lập"
"사막","沙漠","Sa mạc"
"사망","死亡","Tử vong"
"사명","使命","Sứ mệnh"
"사범","師範","Sư phạm"
"사법","司法","Tư pháp"
"사병","士兵","Binh sĩ"
"사상","思想","Tư tưởng"
"사신","使臣","Sứ thần"
"사실","事實","Sự thật"
"사용","使用","Sử dụng"
"사임","辭任","Từ chức"
"사장","社長","Giám đốc"
"사직","辭職","Từ chức"
"사치","奢侈","Xa xỉ"
"사태","事態","Tình thái"
"사회","社會","Xã hội"
"산업","産業","Công nghiệp"
"살해","殺害","Sát hại"
"상관","相關","Liên quan"
"상담(相談)","相談","Tư vấn"
"상류","上流","Thượng lưu"
"상무","商務","Thương vụ"
"상벌","賞罰","Thưởng phạt"
"상병","傷兵","Thương binh"
"상상","想像","Tưởng tượng"
"상식","常識","Thường thức"
"상업","商業","Thương nghiệp"
"상원","上院","Thượng viện"
"상인","商人","Thương nhân"
"상징","象徵","Tượng trưng"
"상태","狀態","Trạng thái"
"상호","相互","Tương hỗ"
"상황","狀況","Tình huống"
"생명","生命","Sinh mạng"
"생물","生物","Sinh vật"
"생산","生産","Sản xuất"
"생존","生存","Sinh tồn"
"생태","生態","Sinh thái"
"서류","書類","Tư liệu, Hồ sơ"
"서명","署名","Ký tên"
"석사","碩士","Thạc sĩ"
"석탄","石炭","Than đá"
"선거","選擧","Tuyển cử"
"선고","宣告","Tuyên cáo"
"선교","宣敎","Truyền đạo"
"선녀","仙女","Tiên nữ"
"선동","煽動","Kích động"
"선례","先例","Tiền lệ"
"선박","船舶","Thuyền"
"선배","先輩","Tiền bối"
"선서","宣誓","Tuyên thệ"
"선수","選手","Tuyển thủ"
"선악","善惡","Thiện ác"
"선언","宣言","Tuyên bố"
"선의","善意","Thiện ý"
"설계","設計","Thiết kế"
"설립","設立","Thiết lập"
"성격","性格","Tính cách"
"성경","聖經","Kinh Thánh"
"성공","成功","Thành công"
"성과","成果","Thành quả"
"성능","性能","Tính năng"
"성분","成分","Thành phần"
"성실","誠實","Thành thật"
"성원","成員","Thành viên"
"성인","聖人","Thánh nhân"
"성적","成績","Thành tích"
"성패","成敗","Thành bại"
"세계","世界","Thế giới"
"세균","細菌","Vi khuẩn"
"세금","稅金","Thuế"
"세기","世紀","Thế kỷ"
"세대","世代","Thế hệ"
"세력","勢力","Thế lực"
"세무","稅務","Thuế vụ"
"세상","世上","Thế gian"
"세심","細心","Cẩn thận"
"세율","稅率","Tỷ lệ thuế"
"침수","浸水","Ngập nước"
"침입","侵入","Xâm nhập"
"침착","沈着","Bình tĩnh"
"침해","侵害","Xâm hại"
"쾌락","快樂","Khoái lạc"
"타당","妥當","Hợp lý"
"타도","打倒","Đả đảo"
"타향","他鄕","Tha hương"
"타협","妥協","Thỏa hiệp"
"탄복","歎服","Thán phục"
"탄생","誕生","Ra đời"
"탄압","彈壓","Đàn áp"
"탐험","探險","Thám hiểm"
"태도","態度","Thái độ"
"태만","怠慢","Lười biếng"
"태아","胎兒","Thai nhi"
"태양","太陽","Thái dương"
"태연","泰然","Thản nhiên"
"태자","太子","Thái tử"
"태평","太平","Thái bình"
"태평양","太平洋","Thái Bình Dương"
"토론","討論","Thảo luận"
"토양","土壤","Thổ nhưỡng"
"토인","土人","Thổ dân"
"통계","統計","Thống kê"
"통과","通過","Thông qua"
"통보","通報","Thông báo"
"통상","通常","Thông thường"
"통신","通信","Thông tin, Liên lạc"
"통역","通譯","Thông dịch"
"통일","統一","Thống nhất"
"통제","統制","Khống chế"
"통치","統治","Thống trị"
"통합","統合","Tổng hợp"
"통화","通貨","Tiền tệ"
"퇴위","退位","Thoái vị"
"퇴직","退職","Về hưu"
"투자","投資","Đầu tư"
"투쟁","鬪爭","Đấu tranh"
"투표","投票","Đầu phiếu"
"투항","投降","Đầu hàng"
"특권","特權","Đặc quyền"
"특별","特別","Đặc biệt"
"특산","特産","Đặc sản"
"특성","特性","Đặc tính"
"파견","派遣","Phái đi"
"파괴","破壞","Phá hủy"
"파병","派兵","Phái quân"
"파산","破産","Phá sản"
"판결","判決","Phán quyết"
"판단","判斷","Phán đoán"
"판매","販賣","Bán"
"팔자","八字","Số phận"
"패전","敗戰","Bại trận"
"팽창","膨脹","Phình trướng"
"편견","偏見","Định kiến"
"편안","便安","An bình"
"편집","編輯","Biên tập"
"평가","評價","Đánh giá"
"평균","平均","Bình quân"
"평등","平等","Bình đẳng"
"평론","評論","Bình luận"
"평범","平凡","Bình thường"
"평화","平和","Hòa bình"
"폐막","閉幕","Bế mạc"
"포격","砲擊","Pháo kích"
"포기","抛棄","Từ bỏ"
"포병","砲兵","Pháo binh"
"포함","包含","Bao hàm"
"폭동","暴動","Bạo động"
"폭력","暴力","Bạo lực"
"폭행","暴行","Bạo hành"
"표류","漂流","Phiêu lưu"
"표본","標本","Tiêu bản"
"비밀","秘密","Bí mật"
"비상","非常","Khẩn cấp"
"비서","秘書","Thư ký"
"비용","費用","Chi phí"
"비율","比率","Tỷ lệ"
"비준","批准","Phê chuẩn"
"비참","悲慘","Bi thảm"
"비판","批判","Phê phán"
"비평","批評","Phê bình"
"비행","飛行","Bay"
"빈도","頻度","Tần số"
"최저","最低","Tối thiểu"
"최하","最下","Thấp nhất"
"최혜국","最惠國","Tối huệ quốc"
"추가","追加","Thêm"
"추상","抽象","Trừu tượng"
"추석","秋夕","Trung thu"
"추세","趨勢","Xu thế"
"추억","追憶","Kỷ niệm, Ký ức"
"추진","推進","Xúc tiến"
"추천","推薦","Tiến cử"
"축복","祝福","Chúc phúc"
"축제","祝祭","Lễ hội"
"축하","祝賀","Chúc mừng"
"출가","出家","Xuất gia"
"출국","出國","Xuất cảnh"
"출동","出動","Xuất binh, Xuất quân"
"출두","出頭","Ra trình diện"
"출력","出力","Công suất"
"출발","出發","Xuất phát"
"출세","出世","Thành đạt"
"출신","出身","Xuất thân"
"출입국","出入國","Xuất nhập cảnh"
"출장","出張","Đi công tác"
"출판","出版","Xuất bản"
"출현","出現","Xuất hiện"
"출혈","出血","Xuất huyết"
"충성","忠誠","Trung thành"
"충실","充實","Trung thực, Đầy đủ"
"취득","取得","Thu được"
"취미","趣味","Sở thích"
"취임","就任","Nhậm chức"
"측량","測量","Đo đạc"
"측정","測定","Đo lường"
"치과","齒科","Nha khoa"
"치료","治療","Trị liệu, Điều trị"
"치안","治安","Trị an, An ninh"
"치욕","恥辱","Sỉ nhục"
"친구","親舊","Bạn bè"
"친선","親善","Thân thiện"
"친애","親愛","Thân ái"
"친절","親切","Thân thiện, Ân cần"
"친척","親戚","Thân thích, Họ hàng"
"침략","侵略","Xâm lược"
"침몰","沈沒","Chìm xuống"
"침범","侵犯","Xâm phạm"
"부주의","不注意","Không chú ý"
"부합","符合","Phù hợp"
"부활","復活","Hồi sinh, Phục sinh"
"부흥","復興","Phục hưng"
"북극","北極","Bắc cực"
"북미","北美","Bắc Mỹ"
"북부","北部","Bắc bộ"
"북한","北韓","Bắc Hàn"
"분노","憤怒","Phẫn nộ"
"분류","分類","Phân loại"
"분배","分配","Phân phối"
"분석","分析","Phân tích"
"분자","分子","Phân tử"
"분포","分布","Phân bố"
"불가능","不可能","Bất khả năng"
"불교","佛敎","Phật giáo"
"불법","不法","Bất hợp pháp"
"불변","不變","Bất biến"
"불신","不信","Bất tín, Không tin"
"불안","不安","Bất an"
"불평","不平","Bất bình"
"불평등","不平等","Bất bình đẳng"
"불행","不幸","Bất hạnh"
"불화","不和","Bất hòa"
"불효","不孝","Bất hiếu"
"비결","秘訣","Bí quyết"
"비관","悲觀","Bi quan"
"비극","悲劇","Bi kịch"
"천사","天使","Thiên thần"
"천연","天然","Thiên nhiên, Tự nhiên"
"천재","天才","Thiên tài"
"청각","聽覺","Thính giác"
"청년","靑年","Thanh niên"
"청렴","淸廉","Thanh liêm"
"청소년","靑少年","Thanh thiếu niên"
"청춘","靑春","Thanh xuân"
"체력","體力","Thể lực"
"체육","體育","Thể dục thể thao"
"체제","體制","Thể chế"
"체중","體重","Trọng lượng cơ thể"
"체질","體質","Thể chất"
"초급","初級","Sơ cấp"
"초능력","超能力","Siêu năng lực"
"초인","超人","Siêu nhân"
"초점","焦點","Tâm điểm"
"촉진","促進","Xúc tiến"
"총계","總計","Tổng số"
"총동원","總動員","Tổng động viên"
"총력","總力","Tổng lực"
"총사령관","總司令官","Tổng tư lệnh"
"총선거","總選擧","Tổng tuyển cử"
"총액","總額","Tổng số tiền"
"최고","最高","Tối cao"
"최대","最大","Tối đa"
"최소","最小","Tối thiểu"
"최신","最新","Mới nhất"
"최악","最惡","Tệ nhất"
"최우수","最優秀","Ưu tú nhất"
"보급","普及","Phổ cập"
"보답","報答","Báo đáp"
"보도","報道","Thông báo, Báo"
"보류","保留","Bảo lưu"
"보병","步兵","Bộ binh"
"보상","補償","Bồi thường"
"보석","寶石","Bảo thạch"
"보수","保守","Bảo thủ"
"보안","保安","Bảo an, An ninh"
"보존","保存","Bảo tồn"
"보충","補充","Bổ sung"
"보통","普通","Phổ thông"
"보험","保險","Bảo hiểm"
"보호","保護","Bảo hộ"
"복수","復讐","Phục thù"
"복잡","複雜","Phức tạp"
"복종","服從","Phục tùng"
"복직","復職","Phục chức"
"본능","本能","Bản năng"
"본분","本分","Bổn phận"
"본성","本性","Bản tính"
"본인","本人","Bản thân"
"봉건","封建","Phong kiến"
"부귀","富貴","Phú quý"
"부근","附近","Phụ cận"
"부대","部隊","Bộ đội"
"부동산","不動産","Bất động sản"
"부득이","不得已","Bất đắc dĩ"
"부락","部落","Bộ lạc"
"부분","部分","Bộ phận, Phần"
"부서","部署","Bộ phận"
"부양","扶養","Phụ dưỡng"
"부업","副業","Nghề phụ"
"부인(夫人)","夫人","Phu nhân"
"부인(否認)","否認","Phủ nhận"
"부작용","副作用","Tác dụng phụ"
"부정(不正)","不正","Bất hợp pháp"
"부정(否定)","否定","Phủ định"
"진보","進步","Tiến bộ"
"진심","眞心","Chân tình"
"진압","鎭壓","Trấn áp"
"진전","進展","Tiến triển"
"진취","進取","Tiến thủ"
"진퇴","進退","Tiến thoái"
"진행","進行","Tiến hành"
"진화","進化","Tiến hóa"
"진흥","振興","Chấn hưng"
"집단","集團","Tập thể"
"집중","集中","Tập trung"
"집합","集合","Tập hợp"
"집행","執行","Chấp hành"
"징벌","懲罰","Trừng phạt"
"착륙","着陸","Hạ cánh"
"찬성","贊成","Tán thành"
"찬양","讚揚","Tán dương"
"참가","參加","Tham gia"
"참견","參見","Tham kiến"
"참고","參考","Tham khảo"
"참관","參觀","Tham quan"
"참모","參謀","Tham mưu"
"참사관","參事官","Tham tán"
"참살","慘殺","Sát hại"
"참여","參與","Tham dự"
"참전","參戰","Tham chiến"
"참패","慘敗","Thảm bại"
"소감","所感","Cảm tưởng"
"소견","所見","Ý kiến"
"소망","所望","Hy vọng"
"소방","消防","Cứu hỏa"
"소원","所願","Nguyện vọng"
"소유","所有","Sở hữu"
"소유권","所有權","Quyền sở hữu"
"소재","所在","Sở tại"
"속기","速記","Tốc ký"
"속담","俗談","Tục ngữ"
"속도","速度","Tốc độ"
"속력","速力","Tốc lực"
"손님","客人","Khách"
"손실","損失","Tổn hại"
"손해","損害","Tổn hại"
"수고","受苦","Nỗ lực"
"수공","手工","Thủ công"
"수난","受難","Thụ nạn"
"수납","收納","Thu nạp"
"수녀","修女","Nữ tu"
"수단","手段","Thủ đoạn"
"수도","首都","Thủ đô"
"수동","受動","Thụ động"
"수량","數量","Số lượng"
"수력","水力","Thủy lực"
"수령","首領","Thủ lĩnh"
"수뢰","水雷","Thủy lôi"
"수립","樹立","Thành lập"
"수비","守備","Phòng ngự"
"수산","水産","Thủy sản"
"수상","首相","Thủ tướng"
"수색","搜索","Tìm kiếm"
"수압","水壓","Thủy áp"
"수양","修養","Tu dưỡng"
"수완","手腕","Khả năng"
"수의","獸醫","Thú y"
"수정","受精","Thụ tinh"
"수지","收支","Thu chi"
"수집","蒐集","Sưu tập"
"수출","輸出","Xuất khẩu"
"수출입","輸出入","Xuất nhập khẩu"
"수태","受胎","Thụ thai"
"수하","手下","Thủ hạ"
"수행","隨行","Đồng hành"
"수확","收穫","Thu hoạch"
"숙명","宿命","Số mệnh"
"숙모","叔母","Thúc mẫu"
"순결","純潔","Thuần khiết"
"순환","循環","Tuần hoàn"
"숭배","崇拜","Sùng bái"
"습격","襲擊","Tập kích"
"습성","習性","Tập tính"
"승낙","承諾","Đồng ý"
"승인","承認","Công nhận"
"시각","視覺","Thị giác"
"시간","時間","Thời gian"
"시공","施工","Thi công"
"시대","時代","Thời đại"
"시력","視力","Thị lực"
"시민","市民","Thị dân"
"시비","是非","Thị phi, Đúng sai"
"시설","施設","Trang thiết bị"
"시위","示威","Thị uy"
"시체","屍體","Thi thể"
"시행","施行","Thi hành"
"시험","試驗","Thi cử"
"식량","食糧","Lương thực"
"신경","神經","Thần kinh"
"신기","神奇","Thần kỳ"
"신념","信念","Niềm tin"
"신도","信徒","Tín đồ"
"신문","新聞","Báo chí"
"신방","新房","Tân phòng"
"신병","新兵","Tân binh"
"신비","神秘","Thần bí"
"신세","身世","Thân thế"
"신뢰","信賴","Tin tưởng"
"신체","身體","Thân thể"
"신혼","新婚","Tân hôn"
"신화","神話","Thần thoại"
"실력","實力","Thực lực"
"실례","失禮","Thất lễ"
"실망","失望","Thất vọng"
"실수","失手","Sai lầm"
"실습","實習","Thực tập"
"실시","實施","Thực thi"
"실천","實踐","Thực tiễn"
"실패","失敗","Thất bại"
"실행","實行","Thực hành"
"실현","實現","Thực hiện"
"심리","心理","Tâm lý"
"심리학","心理學","Tâm lý học"
"심문","審問","Thẩm vấn"
"심사","審査","Thẩm tra"
"심장","心臟","Tim, Trái tim"
"심판","審判","Trọng tài, Thẩm phán"
"악감","惡感","Ác cảm"
"악기","樂器","Nhạc cụ"
"악녀","惡女","Ác nữ"
"악독","惡毒","Ác độc"
"악마","惡魔","Ác ma"
"악몽","惡夢","Ác mộng"
"악성","惡性","Ác tính"
"악의","惡意","Ác ý"
"악인","惡人","Ác nhân"
"안거","安居","An cư"
"안녕","安寧","Bình an"
"안심","安心","An tâm"
"안장","安葬","An táng"
"안전","安全","An toàn"
"안정","安定","Ổn định"
"암살","暗殺","Ám sát"
"암시","暗示","Ám chỉ"
"암호","暗號","Mật mã"
"압도","壓倒","Áp đảo"
"압력","壓力","Áp lực"
